OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,YearBuilt,FullBath,YearRemodAdd,GarageArea,TotRmsAbvGrd,SalePrice
5,999,1,999,999,1962,1,2001,264,6,132500
5,1113,1,1113,1113,1950,1,2007,264,5,147000
5,1073,2,1073,1073,1965,1,1965,515,6,156000
5,1484,2,1484,1484,1971,2,1971,487,7,175000
5,2414,2,954,1766,1900,2,1970,520,10,160000
4,630,1,630,630,1970,1,2002,286,3,86000
5,1304,1,264,616,1976,1,1976,336,4,115000
6,1578,1,806,958,1941,1,1950,240,5,133000
6,1456,2,728,728,2006,2,2006,429,8,172785
5,1269,1,1269,1269,1960,1,1960,308,6,155000
5,886,1,190,886,1938,1,1996,273,4,91300
4,720,0,720,720,1920,1,1950,0,4,34900
8,3228,2,3200,3228,1992,3,1993,546,10,430000
7,1820,1,1026,1133,1925,2,1950,240,8,184000
5,899,1,864,899,1967,1,2004,288,5,130000
5,912,1,912,912,1958,1,1985,297,5,120000
6,1218,1,672,672,1973,1,1973,264,7,113000
7,1768,2,866,866,2005,2,2005,603,7,226700
5,1214,2,1214,1214,1965,1,1965,461,6,140000
7,1801,2,1501,1801,1959,2,1997,484,6,289000
6,1322,2,855,855,1974,2,1974,440,6,147000
5,1960,2,960,960,1952,2,1952,400,10,124500
8,1911,2,777,1065,1993,2,1994,471,8,215000
6,1218,2,1218,1218,2009,2,2009,676,4,208300
7,1378,2,689,689,1928,2,2005,360,7,161000
5,1041,1,1041,1041,1959,1,1959,270,6,124500
5,1363,1,1008,1363,1951,1,2000,288,6,164900
7,1368,2,1368,1368,2005,2,2006,474,6,202665
5,864,2,864,864,1958,1,1958,624,5,129900
6,1080,2,1084,1080,1983,1,1983,484,5,134000
5,789,1,768,789,1926,1,1950,200,5,96500
10,2020,3,2006,2020,2009,2,2009,900,9,402861
6,2119,2,689,1378,1972,2,1972,583,7,158000
7,2344,3,1264,1277,1996,2,1997,889,7,265000
6,1796,2,794,882,1998,2,1998,546,7,211000
7,2080,1,1276,1276,1926,1,2004,282,9,234000
4,1294,0,0,694,1900,2,2000,0,7,106250
6,1244,1,1244,1244,1957,1,1957,336,6,150000
6,1664,2,1004,1004,1947,2,1950,420,7,159000
10,4676,3,3138,3138,2007,3,2008,884,11,184750
7,2398,3,1379,1383,1996,2,1997,834,8,315750
7,1266,2,1257,1266,2005,2,2005,453,6,176000
5,928,1,928,928,1956,1,2000,252,4,132000
9,2713,3,1452,1476,2008,2,2008,858,11,446261
4,605,0,528,605,1920,1,2002,0,5,86000
6,2515,2,2035,2515,1957,3,1975,484,9,200624
6,1509,2,1461,1509,1988,2,1989,600,5,175000
6,1362,2,611,751,1920,2,1999,502,6,128000
5,827,1,0,827,1955,1,2007,392,5,107500
1,334,0,0,334,1946,1,1950,0,2,39300
8,1414,2,707,707,2004,2,2004,403,6,178000
5,1347,0,1117,820,1910,1,1991,0,5,107500
7,1724,2,880,880,1998,2,1999,527,8,188000
4,864,2,864,864,1972,1,1972,576,5,111250
5,1159,1,1051,1159,1968,1,1968,336,7,158000
8,1601,2,1581,1601,2001,2,2002,670,6,272000
9,1838,3,1838,1838,2006,2,2006,765,8,315000
8,2285,3,969,997,2000,2,2000,648,8,248000
7,1680,2,1650,1680,1998,2,1999,583,7,213250
7,767,1,723,767,1998,1,1998,367,4,133000
7,1496,2,654,664,2006,2,2006,426,7,179665
7,2183,3,1204,1377,1988,2,1988,786,9,229000
6,1635,2,1065,915,1923,1,1950,440,6,210000
5,768,2,768,768,1970,1,1970,624,5,129500
5,825,2,825,825,1955,1,1995,720,4,125000
7,2094,2,912,912,2003,2,2004,615,8,263000
6,1069,2,1069,1069,1977,2,1977,440,4,140000
5,928,1,928,928,1957,1,1957,288,5,112500
8,1717,3,1709,1717,2006,2,2006,908,7,255500
4,1126,2,0,1126,1949,2,2003,520,5,108000
7,2046,3,998,1006,2003,2,2004,871,8,284000
5,1048,1,993,1048,1922,1,1950,280,5,113000
5,1092,1,1092,1092,1957,1,1957,299,6,141000
4,1336,1,637,897,1920,1,1950,570,7,108000
7,1446,2,729,729,1996,2,1997,406,6,175000
7,1557,2,1374,1557,2003,2,2004,420,7,234000
5,1392,2,1392,1392,1957,1,1996,528,5,121500
5,1389,2,1389,1389,1974,1,1975,418,6,170000
5,996,0,996,996,1940,1,1969,0,6,108000
6,1674,2,1163,1163,1918,2,1950,396,8,185000
7,2295,2,1095,1166,1992,2,2000,590,9,268000
6,1647,1,806,841,1915,1,1950,216,6,128000
9,2504,3,1122,1134,2005,2,2007,656,11,325000
7,1535,2,1517,1535,2004,2,2004,532,7,214000
8,2132,2,1496,1496,1983,1,2009,612,5,316600
5,943,2,943,943,1979,1,1979,600,4,135960
5,1728,2,1728,1728,1965,2,1965,576,10,142600
6,864,1,864,864,1959,1,1959,288,4,120000
7,1692,2,846,846,2009,2,2009,650,6,224500
7,1430,2,384,774,2000,2,2000,400,8,170000
5,1109,1,372,576,1971,1,2005,288,5,139000
5,1216,1,832,832,1947,1,1950,336,6,118500
7,1477,1,861,877,1928,2,1950,216,6,145000
5,1320,2,1164,1320,1966,1,1966,564,6,164500
7,1392,2,689,703,2007,2,2007,540,5,146000
5,1795,1,1050,1050,1954,2,1954,352,7,131500
6,1429,2,1144,1429,1960,1,1987,572,7,181900
8,2042,3,2042,2042,2008,2,2009,1390,8,253293
6,816,0,816,816,1990,1,1990,0,5,118500
10,2775,2,1237,1521,1893,3,2000,880,9,325000
4,1573,1,884,989,1935,1,1995,240,6,133000
8,2028,3,1868,2028,2005,2,2006,880,7,369900
6,838,1,816,838,1918,1,2000,275,5,130000
5,860,2,840,860,1982,1,1982,528,4,137000
5,1473,1,1437,1473,1968,1,2003,452,5,143000
5,935,1,742,779,1930,1,1960,308,4,79500
7,1582,2,770,770,2004,2,2004,520,6,185900
10,2296,3,1722,1728,2008,2,2008,842,10,451950
5,816,2,816,816,1982,1,2003,816,4,138000
6,848,2,848,848,2003,1,2003,420,4,140000
5,924,1,924,924,1975,1,1975,280,5,110000
8,1826,3,1814,1826,2005,2,2006,758,7,319000
6,1368,1,684,684,1910,1,1993,216,7,114504
7,1402,3,1258,1402,2006,0,2007,648,7,194201
5,1647,2,1430,1647,1977,2,1977,621,7,217500
6,1556,2,716,716,1980,2,1980,452,6,151000
8,1904,2,1058,1058,2005,2,2005,736,8,275000
6,1375,1,780,780,1937,1,1950,544,6,141000
8,1915,2,908,927,1992,2,1992,506,8,220000
7,1200,2,600,600,2004,2,2005,480,4,151000
7,1494,2,1494,1494,2002,2,2002,530,6,221000
7,1986,2,768,1186,1965,2,1990,486,7,205000
5,1040,2,1040,1040,1996,1,1996,576,6,152000
5,2008,1,896,1112,1948,3,2002,230,8,225000
8,3194,2,965,1940,1934,2,1998,380,10,359100
4,1029,1,1029,1029,1961,1,1961,261,5,118500
9,2153,3,1440,1476,2000,2,2000,736,8,313000
6,1032,2,1032,1032,1978,2,1978,564,6,148000
8,1872,2,1299,1299,2001,2,2001,531,7,261500
5,1120,0,1120,1120,2007,1,2007,0,6,147000
4,630,0,630,630,1972,1,1972,0,3,75500
6,1054,2,936,1054,1963,1,1963,480,6,137500
6,1509,2,783,807,2002,2,2003,393,7,183200
6,832,2,832,832,1954,1,1954,528,4,105500
9,1828,3,1822,1828,2007,2,2007,774,9,314813
8,2262,3,1482,1482,2003,2,2003,749,10,305000
3,864,0,864,864,1914,1,1950,0,5,67000
6,2614,2,1522,1548,1974,2,1997,624,9,240000
5,980,2,980,980,1977,1,1977,484,6,135000
6,1512,2,756,756,2000,2,2000,440,4,168500
6,1790,2,732,1012,1972,1,1972,484,8,165150
6,1116,2,1116,1116,1962,1,1962,440,5,160000
5,1422,1,978,1422,1960,1,1978,286,6,139900
6,1520,1,1156,1520,1955,1,1972,364,7,153000
5,2080,2,1040,1040,1969,1,1969,504,9,135000
6,1350,2,1248,1350,1964,1,1964,520,6,168500
5,1750,1,636,1089,1880,1,1991,240,8,124000
8,1554,2,1554,1554,2006,2,2006,627,6,209500
7,1411,2,1386,1411,1977,2,1977,544,6,82500
5,1056,1,1056,1056,1954,1,2005,260,6,139400
6,1056,2,1056,1056,1980,0,1980,576,4,144000
6,3395,0,1440,1440,1914,2,1995,0,14,200000
2,800,0,264,800,1936,1,1950,0,4,60000
5,1387,1,811,811,1954,2,1954,256,7,93000
5,796,0,796,796,1910,1,1950,0,4,85000
8,1567,3,1520,1567,2006,2,2006,648,7,264561
8,1518,2,1518,1518,2003,1,2004,588,6,274000
7,1929,2,1057,1057,2001,2,2001,650,7,226000
8,2704,2,1952,2000,1972,2,1995,538,9,345000
5,1620,2,780,780,1969,2,1969,462,7,152000
9,1766,3,1766,1766,2009,2,2009,478,7,370878
6,981,2,981,981,1971,1,1971,576,5,143250
5,1048,2,0,1048,1950,1,1950,420,7,98300
6,1094,2,1094,1094,1953,1,1953,495,5,155000
6,1839,2,756,1051,1966,1,1966,442,7,155000
4,630,0,630,630,1970,1,1970,0,3,84500
7,1665,2,813,822,2007,2,2007,562,7,205950
4,1510,1,755,755,1940,1,1950,296,7,108000
7,1716,2,880,909,1996,2,1996,512,7,191000
6,1469,1,756,756,1906,1,1995,216,7,135000
8,2113,3,2109,2113,1995,2,1995,839,7,350000
6,1092,1,525,525,1971,1,1971,264,6,88000
5,1053,1,1053,1053,1959,1,2006,312,5,145500
7,1502,1,776,851,1931,1,2000,270,6,149000
6,1458,1,912,912,1948,1,1950,330,6,97500
5,1486,2,1486,1486,1964,1,1999,480,7,167000
7,1935,2,793,1142,1976,2,1976,550,7,197900
8,2448,3,1629,1686,1994,2,2005,711,8,402000
6,1392,2,1392,1392,1968,1,1968,576,5,110000
4,1181,2,1138,1181,1972,2,1972,588,6,137500
8,2097,3,2077,2097,2005,1,2006,1134,8,423000
8,1936,2,1406,1454,2000,2,2000,504,7,230500
6,2380,2,1021,1465,1965,2,1979,596,7,129000
6,1679,2,1408,1679,1994,2,1998,575,7,193500
5,1437,2,1188,1437,1956,1,1987,576,6,168000
4,1180,1,700,1180,1922,1,1950,252,5,137500
6,1476,2,738,738,2005,2,2005,540,7,173500
6,1369,1,672,697,1925,2,1950,300,6,103600
6,1208,2,1208,1208,1977,1,1977,546,6,165000
6,1839,2,1477,1839,1957,2,2004,416,7,257500
6,1136,1,1136,1136,1965,1,1965,384,5,140000
6,1441,2,855,855,1978,2,1978,440,7,148500
4,1774,3,1095,1095,1900,2,1950,779,8,87000
5,792,1,768,792,1924,1,2006,240,5,109500
8,2046,3,2046,2046,2008,2,2008,834,7,372500
5,988,2,988,988,1961,1,1961,572,5,128500
6,923,1,923,923,1980,2,1980,264,5,143000
5,1520,1,793,848,1932,1,2000,281,6,159434
6,1291,2,1291,1291,1996,1,1997,431,6,173000
9,1668,3,1626,1668,2002,2,2002,702,7,285000
7,1839,2,1195,1195,1998,2,1998,486,7,221000
7,2090,2,1190,1190,1984,2,1984,577,6,207500
7,1761,2,874,874,2007,3,2007,578,7,227875
7,1102,2,551,551,2004,2,2004,480,4,148800
8,1419,2,1419,1419,2007,2,2007,567,7,392000
6,1362,2,1362,1362,2005,2,2006,460,6,194700
6,848,2,848,848,2004,1,2004,420,3,141000
10,4316,3,2444,2444,1994,3,1995,832,10,755000
7,2519,2,1210,1238,1989,2,1990,628,9,335000
5,1073,1,1073,1073,1921,1,1968,326,4,108480
5,1539,2,927,1067,1936,1,1950,576,5,141500
6,1137,2,1112,1137,1987,2,1987,551,5,176000
5,616,1,616,616,1921,1,1950,205,4,89000
5,1148,1,980,1148,1952,1,1952,308,6,123500
5,894,1,894,894,1965,1,2009,336,5,138500
7,1391,2,1391,1391,2004,2,2004,530,5,196000
8,1800,3,1800,1800,2002,2,2002,765,7,312500
7,1164,2,1164,1164,1969,1,1969,528,6,140000
8,2576,3,1234,1264,2006,2,2006,666,10,361919
5,1812,2,360,1032,1900,2,1996,672,8,140000
7,1484,2,1473,1484,2004,2,2005,606,7,213000
4,1092,0,0,372,1930,2,1950,0,7,55000
7,1824,2,1643,1824,1971,2,2002,739,5,302000
8,1324,2,1324,1324,2006,2,2006,550,6,254000
7,1456,2,728,728,2007,2,2007,400,8,179540
5,904,1,876,904,1966,1,1966,408,6,109900
3,729,0,270,729,1935,1,2003,0,5,52000
4,1178,1,859,859,1900,1,1950,384,7,102776
8,1228,2,1228,1228,1988,2,1989,472,5,189000
4,960,2,960,960,1970,1,1970,576,6,129000
6,1479,2,725,725,1976,2,2005,475,6,130500
6,1350,2,1064,1350,1974,2,1974,478,7,165000
7,2554,2,718,1576,1890,1,1998,704,8,159500
5,1178,2,1176,1178,1973,1,2000,439,5,157000
7,2418,3,1311,1325,1993,2,1994,983,9,341000
5,971,1,971,971,1969,1,1969,300,5,128500
8,1742,2,1742,1742,1985,2,1985,564,5,275000
6,848,2,848,848,2004,1,2004,420,3,143000
4,864,2,864,864,1970,1,1970,463,5,124500
4,1470,1,941,997,1954,2,1972,548,7,135000
9,1698,3,1698,1698,2007,2,2008,768,8,320000
4,864,2,864,864,1970,1,1970,660,5,120500
6,1680,2,880,1680,1988,2,2007,540,5,222000
7,1232,2,1232,1232,2007,2,2007,632,6,194500
5,1776,3,1584,1776,1958,2,1958,888,9,110000
4,1208,2,780,848,1925,1,1950,539,5,103000
8,1616,2,1595,1616,1995,2,1996,608,5,236500
7,1146,2,868,1146,2003,2,2003,438,6,187500
7,2031,2,1153,1153,1998,2,1999,541,8,222500
5,1144,1,864,1144,1961,1,1983,264,6,131400
5,948,1,948,948,1968,1,1968,300,6,108000
7,1768,2,880,880,1914,1,1970,320,6,163000
3,1040,2,0,1040,1950,2,1950,400,6,93500
8,1801,3,893,901,2005,2,2005,800,8,239900
5,1200,0,1200,1200,1987,3,1988,0,5,179000
7,1728,2,864,864,2004,2,2004,572,7,190000
5,1432,2,264,768,1910,2,2002,360,7,132000
6,912,1,912,912,1961,1,1996,288,5,142000
7,1349,2,1349,1349,2000,2,2001,539,6,179000
5,1464,2,520,1464,1963,2,1999,480,6,175000
8,1337,2,1337,1337,1993,2,1993,462,5,180000
8,2715,2,1142,1175,1976,3,1996,831,11,299800
7,2256,2,952,980,2000,2,2000,554,8,236000
7,2640,4,1240,1320,1880,1,2003,864,8,265979
7,1720,2,1720,1720,1996,2,1996,527,7,260400
4,1529,1,0,1088,1945,2,1950,240,9,98000
4,1140,0,576,792,1910,1,2004,0,7,96500
7,1320,2,660,660,2003,2,2003,400,6,162000
6,1494,2,1479,1494,1997,2,1997,576,6,217000
8,2098,3,1030,1038,2005,2,2005,878,8,275500
6,1026,2,1026,1026,1969,1,2005,440,5,156000
6,1471,2,729,742,1999,2,1999,440,6,172500
8,1768,2,866,866,2007,2,2007,578,7,212000
6,1386,2,672,672,1978,2,1978,440,6,158900
7,1501,2,744,757,1999,2,1999,440,6,179400
8,2531,3,1318,1328,1995,2,1995,752,9,290000
6,864,1,864,864,1959,1,1959,300,5,127500
5,1301,2,1145,1301,1924,1,1950,440,5,100000
7,1547,2,756,764,2009,2,2009,614,7,215200
8,2365,3,1252,1268,1999,2,1999,856,8,337000
8,1494,2,1494,1494,1995,1,1996,481,6,270000
9,1506,2,1498,1506,2008,2,2008,592,6,264132
7,1714,2,980,980,1988,2,1988,496,7,196500
6,1750,1,983,983,1940,2,1985,423,7,160000
7,1836,2,1860,1836,2004,2,2005,484,8,216837
8,3279,3,1650,1690,2003,3,2003,841,12,538000
5,858,2,858,858,1982,1,1982,576,5,134900
4,1220,2,836,1220,1951,1,1951,396,6,102000
6,1117,2,1029,1117,1976,1,1976,672,6,107000
5,912,1,912,912,1958,1,1958,275,5,114500
8,1973,3,1935,1973,2006,2,2006,895,9,395000
6,1204,2,1204,1204,1998,2,1998,412,5,162000
7,1614,3,1614,1614,2005,2,2006,865,7,221500
5,894,2,864,894,1974,1,1974,440,5,142500
5,2020,2,0,2020,1977,2,1977,630,10,144000
6,1004,2,975,1004,1977,1,1977,504,4,135000
7,1253,2,1237,1253,1995,2,1996,402,6,176000
6,1603,2,761,810,1992,2,1992,484,7,175900
7,1430,2,1413,1430,2001,2,2002,605,6,187100
5,1110,2,1097,1110,1978,1,1978,602,4,165500
6,1484,0,742,742,1914,2,2001,0,9,128000
6,1342,2,1372,1342,1967,2,1967,457,7,161500
5,1652,1,686,966,1915,2,1950,416,7,139000
7,2084,2,956,956,2004,2,2004,618,8,233000
4,901,1,901,901,1954,1,2000,281,4,107900
6,2087,2,832,976,1966,2,2007,444,9,187500
7,1145,2,1145,1145,2005,2,2006,397,5,160200
6,1062,2,1029,1062,1976,1,1976,539,5,146800
7,2013,2,1117,1127,1996,2,1997,455,8,269790
8,1496,2,1496,1496,2007,2,2007,474,7,225000
7,1895,2,712,1086,1994,2,1996,409,7,194500
6,1564,2,650,888,1980,2,1981,476,7,171000
6,1285,2,660,1285,1977,1,1977,528,7,143500
5,773,1,773,773,1953,1,1953,240,4,110000
9,3140,3,1926,1966,2008,3,2009,820,11,485000
5,1768,1,731,981,1937,1,1950,240,7,175000
6,1688,2,616,616,1997,2,1997,603,8,200000
4,1196,2,1196,1196,1916,1,1990,440,5,109900
7,1456,2,728,728,2005,2,2005,410,7,189000
9,2822,3,1734,1734,2008,3,2009,1020,12,582933
5,1128,1,936,1128,1954,1,1954,286,5,118000
7,1428,2,1417,1428,2008,2,2008,554,6,227680
5,980,1,980,980,1967,2,1967,384,6,135500
5,1576,2,1324,1072,1923,1,2004,528,6,223500
5,1086,2,1024,1086,1966,1,1966,484,6,159950
5,2138,2,849,1075,1898,2,1965,360,11,106000
6,1309,2,1040,1309,1974,1,1999,484,5,181000
6,848,2,848,848,2004,1,2004,420,4,144500
5,1044,2,540,1044,1952,1,1952,504,4,55993
6,1442,1,1442,1442,1958,1,1958,301,7,157900
5,1250,1,686,686,1918,1,1950,280,7,116000
7,1661,2,1649,1661,1998,2,1998,598,6,224900
5,1008,1,1008,1008,1954,1,1954,275,4,137000
8,1689,3,1568,1689,2002,2,2002,857,7,271000
6,1052,2,1010,1052,1971,1,1971,440,6,155000
7,1358,2,1358,1358,2009,2,2010,484,6,224000
7,1640,2,798,798,2003,2,2003,595,6,183000
4,936,2,936,936,1953,1,1953,576,4,93000
7,1733,2,847,847,2003,2,2003,433,7,225000
6,1489,1,778,944,1940,2,1950,240,7,139500
8,1489,2,1489,1489,2006,2,2006,776,7,232600
10,2084,3,2078,2084,2007,2,2008,1220,7,385000
5,784,0,784,784,1924,1,1950,0,5,109500
7,1434,2,1454,1434,2001,2,2001,527,6,189000
5,2126,2,1013,1160,1967,2,1967,538,7,185000
7,1223,2,600,520,2005,2,2005,480,4,147400
6,1392,2,1392,1392,1957,1,1957,458,6,166000
7,1200,2,600,520,2005,2,2005,480,4,151000
7,1829,2,941,941,2003,2,2003,613,7,237000
6,1516,2,1516,1516,1964,1,1964,472,6,167000
5,1144,2,1144,1144,1961,1,1961,456,6,139950
4,1067,2,1067,1067,1950,2,1995,436,4,128000
5,1559,2,1559,1559,1948,1,1973,812,5,153500
6,987,1,483,483,1973,1,1973,264,5,100000
5,1099,1,1099,1099,1995,1,2006,352,6,144000
5,1200,1,768,768,1946,1,1995,240,6,130500
6,1482,1,672,810,1925,2,1950,400,7,140000
5,1539,2,650,958,1904,2,2002,686,8,157500
6,1165,2,1127,1165,1966,1,1966,490,6,174900
5,1800,0,1800,1800,1961,2,1961,0,10,141000
5,1416,3,876,876,1915,1,1950,720,7,153900
5,1701,2,1390,1701,1975,2,1981,611,6,171000
7,1775,2,740,1006,1993,2,1993,425,7,213000
5,864,1,864,864,1972,1,1972,338,5,133500
6,2358,2,907,1307,1908,3,1997,360,10,240000
6,1855,2,528,1094,1976,2,1994,512,7,187000
6,848,2,848,848,2003,1,2003,420,3,131500
8,1456,2,1273,1456,2003,2,2003,400,7,215000
7,1646,1,918,918,1941,2,1950,240,7,164000
6,1445,2,1127,1445,1964,1,1964,645,7,158000
5,1779,2,1763,1779,1955,1,1974,454,6,170000
5,1040,1,1040,1040,1962,1,2010,260,6,127000
6,1026,2,940,1026,1978,1,1978,576,5,147000
6,1481,2,702,702,1994,2,1995,343,6,174000
7,1370,2,1090,1370,1976,2,1976,479,6,152000
6,2654,2,1054,1512,1968,2,1984,619,9,250000
7,1426,1,912,912,1918,1,1998,216,7,189950
5,1039,2,1039,1039,1965,1,1965,504,6,131500
6,1097,2,1040,1097,1984,2,1985,480,6,152000
5,1148,1,1148,1148,1959,1,1959,672,6,132500
7,1372,2,1372,1372,2007,2,2008,529,6,250580
5,1002,2,1002,1002,1970,1,1970,902,5,148500
8,1646,3,1638,1646,2006,2,2007,870,6,248900
4,1120,2,1040,1120,1961,1,1961,544,5,129000
5,2320,2,0,1547,1948,2,1950,672,7,169000
7,1949,2,1050,1062,1993,2,1994,574,8,236000
5,894,1,894,894,1962,1,1962,308,5,109500
6,1682,2,804,804,1998,2,1998,523,7,200500
5,910,2,105,910,1953,1,1996,414,5,116000
5,1268,1,832,1036,1949,1,1950,288,6,133000
5,1131,1,676,676,1941,1,1950,200,5,66500
8,2610,2,1184,1184,2007,2,2007,550,11,303477
4,1040,2,1064,1040,1963,1,1963,648,5,132250
9,2224,3,1462,1462,2004,2,2005,738,10,350000
5,1155,2,1109,1155,1961,1,1995,576,6,148000
5,864,1,864,864,1978,1,2005,336,6,136500
5,1090,2,1090,1090,2005,1,2006,450,5,157000
7,1717,2,1156,1187,1990,2,1991,400,7,187500
6,1593,2,808,808,1992,2,1993,389,7,178000
4,2230,1,795,954,1912,1,1950,440,10,118500
5,892,1,892,892,1967,1,1967,288,5,100000
9,1709,2,1698,1709,1999,2,2000,506,5,328900
5,1712,2,1626,1712,1959,2,2005,588,8,145000
5,1393,1,816,872,1955,1,1955,300,8,135500
8,2217,2,2217,2217,1970,2,1970,621,8,268000
6,1505,2,1505,1505,1953,1,1953,505,6,149500
5,924,2,672,672,1949,1,2006,576,6,122900
6,1683,2,918,918,1978,2,1978,440,7,172500
6,1068,1,1059,1068,1963,1,2003,264,6,154500
5,1383,1,1383,1383,1954,1,1954,354,6,165000
5,1535,2,0,1535,1979,2,1979,400,8,118858
6,1796,2,780,983,1963,1,1963,483,8,140000
4,951,1,951,951,1936,1,1950,327,6,106500
5,2240,2,0,1120,1979,2,1979,528,12,142953
9,2364,3,2330,2364,2009,2,2010,820,11,611657
5,1236,1,912,1236,1961,1,1994,288,6,135000
4,858,1,858,858,1971,1,1971,684,4,110000
5,1306,1,992,1306,1957,1,2000,756,5,153000
7,1509,2,783,807,2003,2,2003,393,8,180000
7,1670,3,1670,1670,2006,2,2006,690,7,240000
5,902,1,876,902,1967,1,1967,288,6,125500
5,1063,1,1056,1063,1954,1,1954,280,6,128000
8,1636,3,1623,1636,2006,2,2006,865,8,255000
7,2057,1,1017,1020,1936,1,1987,180,6,250000
5,902,2,864,902,1983,1,1983,484,5,131000
6,1484,2,742,742,2005,2,2005,390,8,174000
5,2274,2,1105,1105,1960,2,1960,480,12,154300
5,1268,1,1268,1268,1977,1,1989,252,5,143500
5,1015,1,768,1015,1925,1,1950,450,6,88000
5,2002,3,1001,1001,1949,2,1950,871,8,145000
6,1224,2,612,612,2009,2,2009,528,4,173733
4,1092,1,546,546,1970,1,1970,286,6,75000
2,480,1,480,480,1949,0,1950,308,4,35311
4,1229,1,1134,1229,1956,1,1956,284,6,135000
7,2127,3,1104,912,1991,2,1991,833,8,238000
6,1414,2,1184,1414,1958,1,2002,601,6,176500
6,1721,2,928,936,1994,2,1994,471,7,201000
5,2200,0,1272,1272,1900,2,2003,0,9,145900
6,1316,2,1316,1316,2005,2,2006,397,6,169990
6,1617,2,1604,1617,1993,2,1994,533,5,193000
6,1686,2,1686,1686,1980,2,1980,612,7,207500
5,1126,2,1126,1126,1977,2,1977,540,6,175000
8,2374,3,1181,1234,2003,2,2004,656,10,285000
7,1978,2,832,1098,1968,2,1968,486,9,176000
8,1788,2,1753,1788,2001,2,2001,522,7,236500
7,2236,2,964,993,1997,2,1997,642,8,222000
8,1466,3,1466,1466,2007,2,2007,610,7,201000
5,925,1,925,925,1965,1,1965,429,5,117500
9,1905,3,1905,1905,2006,2,2006,788,8,320000
7,1500,2,1500,1500,2004,2,2004,570,6,190000
7,2069,2,585,2069,1960,2,2007,505,9,242000
4,747,2,600,747,1926,1,1953,528,5,79900
7,1200,2,1176,1200,2003,2,2003,555,5,184900
7,1971,2,1113,1113,2005,2,2005,689,8,253000
7,1962,3,1391,1391,2006,2,2006,868,7,239799
7,2403,1,1032,1207,1940,2,1950,349,10,244400
6,1728,2,1728,1728,1976,2,1976,574,8,150900
7,2060,2,992,1022,1999,2,1999,390,8,214000
4,1440,0,1440,1440,1977,2,1977,0,8,150000
5,1632,2,1632,1632,1967,2,1967,576,8,143000
6,1344,2,819,1344,1958,1,1958,525,7,137500
5,1869,2,1088,1188,1890,1,1996,456,7,124900
5,1144,1,1144,1144,1959,1,1959,796,6,143000
8,1629,3,1616,1629,2002,2,2003,808,9,270000
7,1776,2,936,936,2002,2,2002,474,7,192500
6,1381,2,1161,1381,1972,1,2006,676,5,197500
5,864,2,864,864,1950,1,2002,720,5,129000
5,965,1,828,965,1965,1,1965,300,6,119900
5,768,1,768,768,1972,1,2003,396,5,133900
5,1968,2,784,1168,1969,2,1969,530,7,172000
6,980,0,945,980,1975,2,1975,0,4,127500
6,1958,2,979,979,1946,2,1950,492,8,145000
6,1229,2,561,561,1980,1,1980,462,5,124000
5,1057,2,1057,1057,1962,1,1962,576,6,132000
7,1337,2,1337,1337,2003,2,2003,531,6,185000
7,1416,2,696,696,1999,2,1999,484,6,155000
5,858,0,858,858,1958,1,2008,0,4,116500
6,2872,2,1330,1542,1977,2,1995,619,11,272000
6,1548,2,804,804,1976,2,1976,440,7,155000
9,1800,2,1800,1800,2007,2,2007,702,7,239000
7,1894,2,817,824,2002,2,2003,510,8,214900
6,1484,2,783,783,2005,2,2007,393,8,178900
5,1308,1,728,976,1940,1,1950,256,7,160000
5,1098,1,1098,1098,1955,1,1955,260,6,135000
3,968,0,600,600,1910,1,1950,0,6,37900
6,1095,1,588,1095,1958,1,1958,264,6,140000
4,1192,0,720,720,1949,1,1950,0,6,135000
